8 72
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
-1	19	-9	-11	-20	-13	7	5	
-29	4	-8	-6	-8	-8	-10	-12	
-21	-2	-4	0	-12	9	3	-16	
-10	-15	-19	-7	-4	-20	0	31	
-14	-2	-29	-18	9	1	-22	-3	
-22	2	1	-3	7	11	7	23	
-20	-6	-5	8	-5	10	7	-5	
-28	-1	-1	-7	-20	-3	-21	-8	
-29	-5	1	14	-9	-10	-9	28	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
-4	10	-18	7	10	-1	-6	13	
-5	-2	-20	7	8	1	7	2	
-13	-8	-29	-18	8	3	-14	7	
18	7	-9	22	-2	-17	-3	12	
24	15	-1	-5	11	-4	7	-14	
20	3	-22	-5	1	2	2	-13	
20	-9	13	32	-16	-1	7	2	
14	-7	34	6	4	15	-5	3	
6	6	11	13	0	-9	-2	-3	
-9	10	7	-21	5	25	-1	2	
-24	6	17	-13	-2	-11	9	0	
-18	10	-12	-14	-4	-19	-1	-4	
20	-16	-11	-6	-8	-7	31	23	
-3	9	-3	0	22	-7	1	-14	
-10	9	-1	5	13	-3	-7	-14	
18	3	1	7	6	-9	-7	-13	
-1	3	2	-4	-3	-9	-3	-7	
-23	4	13	15	4	-5	6	-6	
14	-37	-3	-18	-23	-13	-21	-18	
3	-8	1	-9	-5	4	8	29	
-18	26	-4	11	-13	-8	12	20	
-6	29	5	-13	-8	11	-13	-19	
1	4	-16	-10	-8	9	12	23	
-17	-2	3	7	-15	-8	16	-3	
-25	-6	12	-11	4	-1	-1	15	
1	-1	2	0	-23	-6	-3	17	
28	-9	3	11	-1	-35	0	-1	
-7	-18	6	-4	18	-16	26	-2	
16	-15	-5	-16	-21	-1	5	-14	
-2	-15	-6	3	-2	11	-18	7	
11	-24	41	2	4	9	17	-9	
20	-12	7	0	-20	6	6	0	
5	-10	0	-11	-13	-11	-24	9	
-16	1	-1	6	9	-4	-3	-5	
-8	-12	-17	6	-1	-12	10	-7	
2	3	-7	5	-5	-15	-1	6	
15	-4	-23	-7	9	-3	-25	25	
4	-22	35	2	26	15	16	10	
30	3	13	-1	18	-7	5	-10	
-17	0	-24	5	23	-12	0	12	
-1	4	-3	14	18	-17	-3	15	
1	4	-18	-3	10	5	5	-1	
-13	-6	-33	16	-4	-9	-10	-5	
-8	5	-14	-17	11	-14	-39	6	
-6	23	-24	-25	2	0	-16	-20	
